dataset,index,baseline,target,ratio,lo,hi,half_width_pct,cv_base_pct,cv_idx_pct,dof,excludes_parity,ms_baseline,ms_index
deep1m,IVFFlat,HNSW32,0.8,0.650239576279691,0.6379802071428629,0.6627345203292677,1.903476356209758,0.4616159785045576,0.9275318004414889,2.933481661767662,True,0.004064472785547786,0.006250731167122182
deep1m,OPQ-IVFPQ,HNSW32,0.8,,,,,,,,,,
deep1m,OPQ-IVFPQ+SQ8,HNSW32,0.8,0.9220762491180745,0.8994035908569716,0.9453204521649113,2.4898624897809247,0.4616159785045576,1.274116363778686,2.5161599247769257,True,0.004064472785547786,0.004407957356493322
deep1m,SuCo,HNSW32,0.9,0.04359276227075899,0.04346663139131737,0.04371925915507009,0.2897588390747332,0.13676626122911528,0.0785602145043052,3.1902222162111395,True,0.00667105419830766,0.15303123387485926
deep1m,SHG,HNSW48,0.9,0.7248646162792959,0.7224025144841368,0.7273351094423256,0.3402424982135006,0.1645701391657382,0.13410286465103624,3.8433073162903897,True,0.007725962962962963,0.010658490964312832
deep1m,CSPG,HNSW32,0.9,0.8718385212074838,0.8689441525072817,0.8747425307691251,0.3325373977403925,0.13676626122911528,0.1560251775624623,3.9325271990112465,True,0.00667105419830766,0.0076517084712755595
deep1m,HNSW48,HNSW32,0.9,0.8634592516541475,0.8605030528810569,0.8664256062438349,0.3429550005649985,0.13676626122911528,0.1645701391657382,3.870413000815853,True,0.00667105419830766,0.007725962962962963
deep1m,IVFFlat,HNSW32,0.9,0.5052989561770856,0.48467386112204364,0.5268017435942549,4.168609687118298,0.13676626122911528,1.6718855404004886,2.0267661193391384,True,0.00667105419830766,0.013202192715335319
deep1m,OPQ-IVFPQ,HNSW32,0.9,,,,,,,,,,
deep1m,OPQ-IVFPQ+SQ8,HNSW32,0.9,0.6974451385073971,0.6800559233179179,0.7152790006656589,2.5251503955653005,0.13676626122911528,1.0070754344090163,2.0737473190517055,True,0.00667105419830766,0.009564987738798193
deep1m,SuCo,HNSW32,0.95,0.0593970762388919,0.05925813970037015,0.0595363385277972,0.234185624144318,0.11829303421434932,0.04750030983556289,2.628619410709077,True,0.01027422619843924,0.1729752851321645
deep1m,SHG,HNSW48,0.95,0.7346102108942735,0.7315359620175076,0.7376973791716527,0.4193664247223383,0.19854028042122568,0.17043039198366092,3.9102625631693417,True,0.011528726660554196,0.015693665143205356
deep1m,CSPG,HNSW32,0.95,0.8683754351759506,0.8647319425770655,0.8720342793973033,0.4204596609045101,0.11829303421434932,0.1959258575340069,3.2870924249163265,True,0.01027422619843924,0.011831548639278898
deep1m,HNSW48,HNSW32,0.95,0.8911848204010892,0.8874090722138924,0.8949766336419568,0.42457867632095014,0.11829303421434932,0.19854028042122568,3.2610568555770483,True,0.01027422619843924,0.011528726660554196
deep1m,IVFFlat,HNSW32,0.95,0.4307489215566197,0.41593115808094533,0.44609457555012416,3.5012760287565814,0.11829303421434932,1.4040774709619064,2.028390583118182,True,0.01027422619843924,0.023852006782305424
deep1m,OPQ-IVFPQ,HNSW32,0.95,,,,,,,,,,
deep1m,OPQ-IVFPQ+SQ8,HNSW32,0.95,0.452609386196082,0.4455317815908084,0.4597994238286241,1.5761540384443742,0.11829303421434932,0.6232838001316461,2.1438942839550204,True,0.01027422619843924,0.022699984825299627
deep1m,SuCo,HNSW32,0.99,0.09912238376562754,0.09873520349389313,0.09951108232625502,0.39137417951753556,0.15271719963933722,0.03866663482968996,2.255373451469771,True,0.025130973733333326,0.25353479989701316
deep1m,SHG,HNSW48,0.99,0.7397738525830134,0.7368560731886892,0.742703185707983,0.3951959439278564,0.018393894668323793,0.1580074950077519,2.054196626708666,True,0.025340700000000035,0.03425465757071542
deep1m,CSPG,HNSW32,0.99,0.7777563831350737,0.7744971123883246,0.7810293696796362,0.4199423773920418,0.15271719963933722,0.21290937918143607,3.627252236268105,True,0.025130973733333326,0.03231214076576573
deep1m,HNSW48,HNSW32,0.99,0.9917237382287503,0.9879411652974663,0.995520793660089,0.38214414309372935,0.15271719963933722,0.018393894668323793,2.058014972620724,True,0.025130973733333326,0.025340700000000035
deep1m,IVFFlat,HNSW32,0.99,0.39089562875896033,0.38958094902278617,0.39221474501291864,0.3368924843818808,0.15271719963933722,0.1444343597987665,3.9876262216655913,True,0.025130973733333326,0.064290751506024
deep1m,OPQ-IVFPQ,HNSW32,0.99,,,,,,,,,,
deep1m,OPQ-IVFPQ+SQ8,HNSW32,0.99,,,,,,,,,,
enron,SHG,HNSW48,0.8,0.9404403425755739,0.9079202577763619,0.974125238828534,3.5198926532042014,0.3921215979416683,1.361186338762324,2.3296747916527396,True,0.04008,0.042618333333333334
